ID Investigación,Código Investigación,Expediente,Tipo producto,Título,Incluir en ficha,Orden,Link inicial,Requiere edición,Link del editable,Link para ficha,% de Avance,Estado de edición,Fecha estimada,Notas
14,IDARTES 07 2023 SALSA AL PARQUE,202391004200100043E,Anexo,Formularios Salsa 2023 finales,Sí,6,https://docs.google.com/spreadsheets/d/1XZA7-87BIk_Aa-IO4OPBddQn3gXiiqas/edit#gid=140490831,No,,https://docs.google.com/spreadsheets/d/1Cgz7a_-MEl7xRcIeE8sPfu_IV-Xo8yzv/edit?usp=sharing&ouid=105090632649587320414&rtpof=true&sd=true,,0 No aplica,,
14,IDARTES 07 2023 SALSA AL PARQUE,202391004200100043E,Carpeta archivos,Carpeta equipo Sector Cultura,No,,https://drive.google.com/drive/folders/1CU-KjUSYhBZyiUXQDRyGV1XHh888JZmS?usp=drive_link,No,,,,0 No aplica,,
14,IDARTES 07 2023 SALSA AL PARQUE,202391004200100043E,Informe cuantitativo,Análsis multivariado de datos Salsa al parque,No,,https://docs.google.com/document/d/1gAni2dDaSomZ3ixloWUd78yD0ugySyNd/edit?usp=sharing&ouid=105090632649587320414&rtpof=true&sd=true,,,,,,,
21,IDARTES 14 2023 INDICE CULTURA DISTRITOS CREATIVOS ,202391004200100035E,Carpeta archivos,Encuesta Índice de Cultura Ciudadana Distritos Creativos 2023,No,,https://drive.google.com/drive/folders/19PD4AKucV9BcH8kZB602jWxQSM0LMlU_,,,,,5 Finalizado,,
21,IDARTES 14 2023 INDICE CULTURA DISTRITOS CREATIVOS ,202391004200100035E,Anexo,,,,,,,,,0 No aplica,,
21,IDARTES 14 2023 INDICE CULTURA DISTRITOS CREATIVOS ,202391004200100035E,Base de datos,,,,,,,,,,,
21,IDARTES 14 2023 INDICE CULTURA DISTRITOS CREATIVOS ,202391004200100035E,Informe cuantitativo,,,,,,,,,,,
20,DIRECCIÓN BIBLIOTECAS 01 2023 MEMORIAS LEO ,202391004200100028E,Informe final,Informe final de la investigación,Sí,1,https://docs.google.com/presentation/d/1CVExqyje0exPfI0WdNatZxVJ317I0UsGscuYLfyJPe4/edit?usp=sharing,Sí,,https://drive.google.com/file/d/1gQHVIybAeB0oDaJDg3H78jEF2pUV3e1j/view?usp=drive_link,90,5 Finalizado,,
20,DIRECCIÓN BIBLIOTECAS 01 2023 MEMORIAS LEO ,202391004200100028E,Carpeta archivos,Carpeta equipo Analítica,No,,https://drive.google.com/drive/folders/1yYIVxmw9jO3N7iMWcoL1yKAFA8tDkDeL,,,,,5 Finalizado,,
20,DIRECCIÓN BIBLIOTECAS 01 2023 MEMORIAS LEO ,202391004200100028E,Base de datos,Datos encuesta asistentes 6 a 12 años,Sí,2,https://docs.google.com/spreadsheets/d/1JZudMqIWmx_5UEMAk_tOXVggpuxj2_22/edit#gid=86086449,,,https://docs.google.com/spreadsheets/d/1mlanxcD_36HreQPTpZO0FQzqaf81uBGi/edit?usp=sharing&ouid=105090632649587320414&rtpof=true&sd=true,,5 Finalizado,,Base de datos Encuesta_asistentes_Filbo_2023_personas_entre_6_y_12_años_depurada
